[132] N:37.523688 - E:139.939282 / MAC address: DC:53:60:AC:E4:64 / RSSI: -90 / Time: Sat May  6 20:02:40 2017
[133] N:37.523692 - E:139.939285 / MAC address: B8:81:98:C5:55:D5 / RSSI: -81 / Time: Sat May  6 20:02:40 2017
[134] N:37.523698 - E:139.939292 / MAC address: 86:E7:81:5F:77:75 / RSSI: -81 / Time: Sat May  6 20:02:42 2017
[135] N:37.523702 - E:139.939297 / MAC address: CC:E1:D5:4F:7D:CE / RSSI: -26 / Time: Sat May  6 20:02:42 2017
[136] N:37.523703 - E:139.939300 / MAC address: CC:E1:D5:4F:7D:CE / RSSI: -26 / Time: Sat May  6 20:02:42 2017
[137] N:37.523702 - E:139.939302 / MAC address: 70:1F:93:56:B9:58 / RSSI: 0 / Time: Sat May  6 20:02:43 2017
[138] N:37.523698 - E:139.939307 / MAC address: A0:D3:7A:6A:77:F5 / RSSI: -86 / Time: Sat May  6 20:02:43 2017
[139] N:37.523695 - E:139.939308 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:44 2017
[140] N:37.523692 - E:139.939310 / MAC address: 6E:51:27:C9:8D:4F / RSSI: 0 / Time: Sat May  6 20:02:46 2017
[141] N:37.523692 - E:139.939310 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:46 2017
[142] N:37.523687 - E:139.939313 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:02:47 2017
[143] N:37.523688 - E:139.939315 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:02:49 2017
[144] N:37.523690 - E:139.939320 / MAC address: 74:C6:3B:69:A2:93 / RSSI: -77 / Time: Sat May  6 20:02:50 2017
[145] N:37.523692 - E:139.939323 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:51 2017
[146] N:37.523697 - E:139.939330 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:02:51 2017
[147] N:37.523697 - E:139.939332 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:02:53 2017
[148] N:37.523698 - E:139.939333 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:53 2017
[149] N:37.523700 - E:139.939335 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -72 / Time: Sat May  6 20:02:53 2017
[150] N:37.523705 - E:139.939333 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:02:55 2017
[151] N:37.523705 - E:139.939333 / MAC address: D8:49:2F:24:2C:E0 / RSSI: -95 / Time: Sat May  6 20:02:57 2017
[152] N:37.523703 - E:139.939333 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:02:57 2017
[153] N:37.523703 - E:139.939330 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -72 / Time: Sat May  6 20:02:58 2017
[154] N:37.523695 - E:139.939322 / MAC address: 1C:1A:C0:7F:35:74 / RSSI: -87 / Time: Sat May  6 20:02:58 2017
[155] N:37.523692 - E:139.939318 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:03:00 2017
[156] N:37.523690 - E:139.939315 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:03:00 2017
[157] N:37.523690 - E:139.939313 / MAC address: D8:49:2F:24:2C:E0 / RSSI: -92 / Time: Sat May  6 20:03:02 2017
[158] N:37.523687 - E:139.939307 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:03:04 2017
[159] N:37.523685 - E:139.939305 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:03:04 2017
[160] N:37.523683 - E:139.939300 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -75 / Time: Sat May  6 20:03:04 2017
[161] N:37.523680 - E:139.939300 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -75 / Time: Sat May  6 20:03:04 2017
[162] N:37.523677 - E:139.939297 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -80 / Time: Sat May  6 20:03:04 2017
[163] N:37.523677 - E:139.939295 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:03:05 2017
[164] N:37.523677 - E:139.939293 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:03:06 2017
[165] N:37.523675 - E:139.939292 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -77 / Time: Sat May  6 20:03:07 2017
[166] N:37.523673 - E:139.939292 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:03:07 2017
[167] N:37.523673 - E:139.939292 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:03:09 2017
[168] N:37.523672 - E:139.939292 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:03:11 2017
[169] N:37.523672 - E:139.939293 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -71 / Time: Sat May  6 20:03:11 2017
[170] N:37.523670 - E:139.939288 / MAC address: 88:57:EE:BB:5E:6D / RSSI: -82 / Time: Sat May  6 20:03:12 2017
[171] N:37.523672 - E:139.939287 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:03:13 2017
[172] N:37.523672 - E:139.939285 / MAC address: 20:16:D8:54:2E:5C / RSSI: -86 / Time: Sat May  6 20:03:13 2017
[173] N:37.523673 - E:139.939283 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:03:15 2017
[174] N:37.523670 - E:139.939278 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -78 / Time: Sat May  6 20:03:15 2017
[175] N:37.523667 - E:139.939277 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -78 / Time: Sat May  6 20:03:15 2017
[176] N:37.523667 - E:139.939277 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:03:17 2017
[177] N:37.523667 - E:139.939275 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:03:18 2017
[178] N:37.523665 - E:139.939277 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -28 / Time: Sat May  6 20:03:19 2017
[179] N:37.523665 - E:139.939278 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -29 / Time: Sat May  6 20:03:19 2017
[180] N:37.523667 - E:139.939278 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:03:20 2017
[181] N:37.523667 - E:139.939278 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:03:20 2017
[182] N:37.523670 - E:139.939278 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -75 / Time: Sat May  6 20:03:20 2017
